Name,B,F,Var,HD,HIP,RA,Dec,vis. mag.,abs. mag.,Dist. (ly),Sp. class,Notes,Spectral type,Temperature,Mass,Radius,Luminosity,Surface gravity,Rotation,Age,Main Star
V1773 Cyg,,,V1773,193536.0,100142.0,20h 18m 49.67s,+46° 19′ 20.0″,6.46,−3.09,2650,B2V,,,,,,,,,,False
X Cyg,,,X,197572.0,102276.0,20h 43m 24.20s,+35° 35′ 16.1″,6.48,−2.68,2218,G8Ib,Cepheid variable,F7 Ib to G8 Ib,5315.0 K,8.9 M☉,95.9 R☉,5202.0 L☉,1.601 cgs,8.0 km/s,31.0 Myr,False
V1276 Cyg,,,V1276,186357.0,96988.0,19h 42m 49.10s,+29° 19′ 54.0″,6.49,,266,F1III,δ Sct variable,,,,,,,,,False
V1584 Cyg,,,V1584,193722.0,100250.0,20h 19m 56.04s,+46° 50′ 14.3″,6.49,−1.38,1221,B9p Si,α2CVn variable,,,,,,,,,False
χ Cyg,χ,,,187796.0,97629.0,19h 50m 33.94s,+32° 54′ 50.9″,7.91,2.78,346,"S7,1e:","Mira variable; Vmax = 3.62m, Vmin = 15.00m","S6+/1e = MS6+(S6,2e – S10,4e)",2742.0 K,2.1 M☉,480.0 R☉,9000.0 L☉,0.49 cgs,,,False
U Cyg,,,U,193680.0,100219.0,20h 19m 36.40s,+47° 53′ 38.0″,8.77,−1.00,2938,R....,Mira variable,,,,,,,,,False
47 Cyg B,,47.0,,196094.0,,20h 33m 52.50s,+35° 13′ 07.0″,9.40,,,K2Ib+...,component of 47 Cyg system,K6: Ib + B2.5:,4217.0 K,3.9 M☉,601.0 R☉,,1.23 cgs,,17.6 Myr,False
V1500 Cyg,,,V1500,,,21h 11m 36.61s,+48° 09′ 01.9″,17.1,,,,Nova Cygni 1975; Vmax = 2.0m,,54000.0 K,1.2 M☉,0.009 R☉,5.0 L☉,,,,False
V476 Cyg,,,V476,,,19h 58m 24.57s,+53° 37′ 07.1″,,,200,,Nova Cygni 1920; Vmax = 2.0m,,,,,,,,,False
V1668 Cyg,,,V1668,,,21h 42m 35.22s,+44° 01′ 54.9″,,,,,Nova Cygni 1978; Vmax = 6.0m,,,0.98 M☉,,,,,,False
V1974 Cyg,,,V1974,,,20h 30m 31.61s,+52° 37′ 51.3″,,,,,Nova Cygni 1992; Vmax = 4.5m,,,,,,,,,False
