Name,B,F,G.,Var,HD,HIP,RA,Dec,vis. mag.,abs. mag.,Dist. (ly),Sp. class,Notes,Spectral type,Temperature,Mass,Radius,Luminosity,Surface gravity,Rotation,Age,Main Star
HD 96819,,(10),271.0,,96819.0,54477.0,11h 08m 44.05s,−28° 04′ 50.2″,5.43,1.61,189.0,A1V,10 Crateris,A1V,8954.0 K,1.93 M☉,1.8 R☉,20.66 L☉,4.22 cgs,249.0 km/s,9.0 Myr,False
HD 93397,b1,(3),249.0,,93397.0,52737.0,10h 46m 52.06s,−17° 17′ 48.6″,5.44,1.30,219.0,A3V,3 Crateris,,,,,,,,,False
20 Hya,,20,103.0,,78732.0,44961.0,09h 09m 35.58s,−08° 47′ 15.5″,5.47,−1.00,642.0,G8II,,,,,,,,,,False
24 Hya,,24,114.0,,79931.0,45526.0,09h 16m 41.38s,−08° 44′ 41.1″,5.49,−1.14,689.0,B9III,,,,,,,,,,False
15 Hya,,15,70.0,,75737.0,43496.0,08h 51m 34.44s,−07° 10′ 38.0″,5.55,−0.33,488.0,A4m,,,,,,,,,,False
33 Hya,A,33,163.0,,82870.0,46982.0,09h 34m 32.64s,−05° 54′ 53.3″,5.56,−1.04,681.0,K1III,Ukdah; Ukdah III,,,,,,,,,False
2 Hya,,2,23.0,LM,71297.0,41375.0,08h 26m 27.23s,−03° 59′ 14.3″,5.6,1.97,173.0,A5III-IV,LM Hya; δ Sct variable,,,,,,,,,False
19 Hya,,19,99.0,,78556.0,44883.0,09h 08m 42.19s,−08° 35′ 22.2″,5.6,−1.60,898.0,B9.5III,,,,,,,,,,False
28 Hya,,28,134.0,,81420.0,46221.0,09h 25m 24.04s,−05° 07′ 02.6″,5.6,−0.98,675.0,K5III,,,,,,,,,,False
1 Hya,,1,15.0,,70958.0,41211.0,08h 24m 35.14s,−03° 45′ 04.2″,5.61,3.44,89.0,F3V,,,,,,,,,,False
55 Hya,,55,384.0,,130158.0,72323.0,14h 47m 22.56s,−25° 37′ 27.2″,5.61,−0.76,613.0,B9IV/V,,,,,,,,,,False
59 Hya,,59,92.0,,132219.0,73284.0,14h 58m 39.29s,−27° 39′ 26.3″,5.65,0.50,350.0,A6IV,,,,,,,,,,False
χ2 Hya,χ2,,265.0,,96314.0,54255.0,11h 05m 57.55s,−27° 17′ 16.1″,5.69,−1.26,799.0,B8V,265 G. Hya.; β Lyr variable,B8 III-IVe + B8.5 V,11750.0 K,3.605 M☉,4.391 R☉,344.0 L☉,3.65 cgs,112.0 km/s,158.0 Myr,False
HD 100893,,(22),291.0,,100893.0,56620.0,11h 36m 34.92s,−33° 34′ 11.9″,5.71,0.54,352.0,K0III,22 Crateris,,,,,,,,,False
3 Hya,,3,35.0,HV,72968.0,42146.0,08h 35m 28.21s,−07° 58′ 56.4″,5.72,1.14,268.0,A1spe...,HV Hya; α2 CVn variable,,,,,,,,,False
57 Hya,,57,386.0,,130274.0,72378.0,14h 47m 57.56s,−26° 38′ 46.1″,5.76,0.14,434.0,B9.5V,,,,,,,,,,False
48 Hya,,48,366.0,,122066.0,68390.0,14h 00m 00.25s,−25° 00′ 36.6″,5.77,1.98,187.0,F6V,,,,,,,,,,False
60 Hya,,60,393.0,,132851.0,73566.0,15h 02m 06.38s,−28° 03′ 37.9″,5.83,0.84,325.0,A4IV,,,,,,,,,,False
HD 100623,,(20),289.0,,100623.0,56452.0,11h 34m 29.95s,−32° 50′ 00.0″,5.96,6.06,31.0,K0V,20 Crateris,K0 V+ DC8,5241.0 K,0.87 M☉,0.84 R☉,0.368 L☉,4.59 cgs,6.79 km/s,5.8 Gyr,False
φ2 Hya,φ2,,234.0,,91880.0,51905.0,10h 36m 16.68s,−16° 20′ 39.6″,6.01,−1.35,967.0,M1III,,M1 III,3873.0 K,6.4 M☉,85.0 R☉,1470.0 L☉,1.25 cgs,,,False
21 Hya,,21,106.0,KW,79193.0,45184.0,09h 12m 26.05s,−07° 06′ 35.6″,6.1,1.51,269.0,A3m,KW Hya; Algol variable,,,,,,,,,False
OY Hya (188 G. Hya),,,188.0,OY,86612.0,48943.0,09h 59m 06.32s,−23° 57′ 02.8″,6.11,−0.31,628.0,B5V,Be star,,,,,,,,,False
10 Hya,,10,52.0,,74591.0,42931.0,08h 45m 01.28s,+05° 40′ 50.1″,6.13,2.12,207.0,A6V,,,,,,,,,,False
MO Hya,,,334.0,MO,111786.0,62788.0,12h 51m 57.97s,−26° 44′ 18.1″,6.14,2.24,196.0,A0III,δ Sct variable,,,,,,,,,False
NS Hya,,,96.0,NS,78196.0,44738.0,09h 06m 59.95s,+01° 27′ 45.8″,6.16,−1.25,991.0,M1III,,,,,,,,,,False
