Name,B,F,Var,HD,HIP,RA,Dec,vis. mag.,abs. mag.,Dist. (ly),Sp. class,Notes,Spectral type,Temperature,Mass,Radius,Luminosity,Surface gravity,Rotation,Age,Main Star
μ2 Cnc,μ2,10,,67228,39780.0,08h 07m 45.84s,+21° 34′ 55.1″,5.3,3.46,76.0,G2IV,,G2 IV,5809.0 K,1.192 M☉,1.83 R☉,3.645 L☉,3.97 cgs,3.7 km/s,5.64 Gyr,False
θ Cnc,θ,31,,72094,41822.0,08h 31m 35.77s,+18° 05′ 40.4″,5.33,−0.57,494.0,K5III,suspected variable,K5 III,4600.0 K,,40.02 R☉,353.1 L☉,4.41 cgs,,,False
η Cnc,η,33,,72292,41909.0,08h 32m 42.52s,+20° 26′ 28.6″,5.33,0.43,312.0,K3III,,K3 III,4415.0 K,1.51 M☉,17.0 R☉,87.0 L☉,2.1 cgs,2.7 km/s,3.92 Gyr,False
82 Cnc,π2,82,,79554,45410.0,09h 15m 13.88s,+14° 56′ 29.5″,5.36,−1.30,701.0,K1III,,K1 III,4703.0 K,2.56 M☉,31.32 R☉,435.0 L☉,2.04 cgs,1.3 km/s,,False
57 Cnc,,57,,75959,43721.0,08h 54m 14.70s,+30° 34′ 45.0″,5.4,0.15,365.0,G7III,,G7 III + K0 III,4810.0 K,6.49 M☉,,173.13 L☉,2.74 cgs,,645.0 Myr,False
τ Cnc,τ,72,,78235,44818.0,09h 08m 00.07s,+29° 39′ 15.2″,5.42,0.91,260.0,G8III,,G8 III,5153.0 K,2.42 M☉,7.76 R☉,40.0 L☉,3.21 cgs,1.95 km/s,620.0 Myr,False
60 Cnc,,60,,76351,43851.0,08h 55m 55.56s,+11° 37′ 33.8″,5.44,−0.82,582.0,K5III,,K5 III,4150.0 K,1.42 M☉,54.0 R☉,669.87 L☉,1.28 cgs,,1.15 Gyr,False
σ2 Cnc,σ2,59,,76398,43932.0,08h 56m 56.63s,+32° 54′ 38.1″,5.44,1.56,195.0,A7IV,,A7 IV,8309.0 K,1.79 M☉,2.28 R☉,21.5 L☉,4.17 cgs,133.0 km/s,441.0 Myr,False
ν Cnc,ν,69,,77350,44405.0,09h 02m 44.27s,+24° 27′ 10.6″,5.45,−0.28,457.0,A0pSi,"α2 CVn variable, Vmax = 5.33m, Vmin = 5.49m, P = 4.20 d",A0 III,10250.0 K,2.82 M☉,,93.0 L☉,3.5 cgs,18.9 km/s,,False
27 Cnc,,27,BP,71250,41400.0,08h 26m 43.95s,+12° 39′ 17.5″,5.56,−1.98,1052.0,M3III,"semiregular variable, Vmax = 5.41m, Vmin = 5.75m, P = 40 d",M3 IIIa,3574.0 K,,119.0 R☉,2455.0 L☉,1.0 cgs,,,False
φ1 Cnc,φ1,22,,71093,41377.0,08h 26m 27.73s,+27° 53′ 37.9″,5.58,0.15,398.0,K5III,,K5 III,4100.0 K,1.27 M☉,27.0 R☉,195.0 L☉,,1.3 km/s,,False
3 Cnc,,3,,65759,39177.0,08h 00m 47.31s,+17° 18′ 31.4″,5.6,−1.12,721.0,K3III,,K3 III,4300.0 K,2.9 M☉,40.0 R☉,568.61 L☉,2.05 cgs,5.73 km/s,,False
15 Cnc,,15,BM,68351,40240.0,08h 13m 08.87s,+29° 39′ 23.7″,5.62,−1.52,872.0,B9p SiCr,"α2 CVn variable, Vmax = 5.53m, Vmin = 5.65m, P = 3.31 d",A0:V:spSiSr,10080.0 K,,,327.24 L☉,3.22 cgs,25.0 km/s,,False
45 Cnc,A1,45,,74228,42795.0,08h 43m 12.34s,+12° 40′ 51.1″,5.62,−1.87,1028.0,A3V+...,suspected variable,G8 III and A3 III,5058.0 K,3.11 M☉,13.86 R☉,210.3 L☉,2.72 cgs,5.3 km/s,,False
49 Cnc,b,49,BI,74521,42917.0,08h 44m 45.04s,+10° 04′ 54.2″,5.63,0.15,408.0,A1p...,"α2 CVn variable, Vmax = 5.58m, Vmin = 5.71m, P = 6.91 d",A1VpHgMnSiEu,10615.0 K,3.011 M☉,2.909 R☉,102.0 L☉,3.964 cgs,6.907 d,263.0 Myr,False
