Name,B,Var,HD,HIP,RA,Dec,vis. mag.,abs. mag.,Dist. (ly),Sp. class,Notes,Spectral type,Temperature,Mass,Radius,Luminosity,Surface gravity,Rotation,Age,Main Star
p Vel,p,,92139,51986.0,10h 37m 18.26s,−48° 13′ 32.2″,3.84,1.72,86.0,A3m+...,,F3IV + F0V + A6V,6710.0 K,1.88 M☉,2.56 R☉,12.5 L☉,,,,False
HD 88955,q,,88955,50191.0,10h 14m 44.27s,−42° 07′ 19.4″,3.85,1.36,103.0,A2V,,A2 V,9451.0 K,2.17 M☉,2.11 R☉,23.24 L☉,4.08 cgs,100.0 km/s,410.0 Myr,False
HD 75063,a,,75063,43023.0,08h 46m 01.65s,−46° 02′ 29.5″,3.87,−4.52,1552.0,A1III,,A1IIIor A0 II,8195.0 K,8.6 M☉,41.0 R☉,6800.0 L☉,,30.0 km/s,30.6 Myr,False
ψ Vel A,ψ,,82434A,46651.0,09h 30m 42.11s,−40° 28′ 00.8″,3.91,2.57,61.0,F3VFe-0.7,,F0 IV + F3 IV,6837.0 K,1.46 M☉,1.46 R☉,4.21 L☉,,,,False
HD 74772,d,,74772,42884.0,08h 44m 23.97s,−42° 38′ 57.6″,4.05,−0.18,228.0,G5III,,G6 III,5210.0 K,3.2 M☉,12.0 R☉,128.02 L☉,2.5 cgs,5.8 km/s,,False
HD 73634,e,,73634,42312.0,08h 37m 38.64s,−42° 59′ 20.8″,4.11,−4.11,1436.0,A6II,,A7Iaor A6II,7977.0 K,7.8 M☉,33.69 R☉,4140.2 L☉,,,39.8 Myr,False
γ1 Vel,γ1,,68243,,08h 09m 29.30s,−47° 20′ 45.0″,4.27,−3.62,840.0,B2III,"component of the γ Vel system, spectroscopic binary; suspected variable",WC8 + O7.5III,90000.0 K,9.0 M☉,1.9 R☉,204000.0 L☉,,,5.0 Myr,False
HD 92449,x,,92449,52154.0,10h 39m 18.41s,−55° 36′ 11.8″,4.29,−2.92,901.0,G2II,,G5 IIa+ B8 V,5180.0 K,3.43 M☉,48.0 R☉,1340.0 L☉,2.02 cgs,,,False
HD 83446,M,,83446,47175.0,09h 36m 49.66s,−49° 21′ 18.5″,4.34,1.75,107.0,A5V,,A7 V,8331.0 K,1.8 M☉,,15.99 L☉,4.3 cgs,155.0 km/s,453.0 Myr,False
HD 95370,i,,95370,53773.0,11h 00m 09.25s,−42° 13′ 33.1″,4.37,0.39,204.0,A3IV,,A3 V,8696.0 K,2.01 M☉,2.6 R☉,54.77 L☉,3.72 cgs,115.0 km/s,548.0 Myr,False
HD 77258,w,,77258,44191.0,09h 00m 05.44s,−41° 15′ 13.5″,4.47,0.52,201.0,K0III+...,suspected variable,G8-K1III+ A7,5889.0 K,,7.97 R☉,68.769 L☉,,,,False
MV Vel,J,MV,89890,50676.0,10h 20m 54.81s,−56° 02′ 35.6″,4.49,−3.24,1150.0,B3III,Be star; ΔV = 0.06m,B3 III + A0 IVpSi + A2 + K0 III,15000.0 K,,10.07 R☉,3082.41 L☉,3.0 cgs,26.8 km/s,,False
HD 85622,m,,85622,48374.0,09h 51m 40.69s,−46° 32′ 51.5″,4.58,−3.03,1083.0,G5Ib,"variable star, ΔV = 0.005m, P = 1.64 d",G5 IborG6 IIa,4761.0 K,6.2 M☉,62.6 R☉,1602.0 L☉,1.65 cgs,19.3 km/s,63.7 Myr,False
GZ Vel,,GZ,89682,50555.0,10h 19m 36.77s,−55° 01′ 45.5″,4.59,−3.71,1489.0,K3II,slow irregular variable,K2.5 II,3986.0 K,8.9 M☉,136.0 R☉,2780.0 L☉,2.0 cgs,2.0 km/s,29.6 Myr,False
HD 79940,k,,79940,45448.0,09h 15m 45.07s,−37° 24′ 47.3″,4.63,1.10,166.0,F3/F5V,,F3/5Vor F5III,6388.0 K,1.36 M☉,4.35 R☉,28.427 L☉,3.26 cgs,117.2 km/s,2.76 Gyr,False
H Vel,H,,76805,43878.0,08h 56m 19.28s,−52° 43′ 24.6″,4.68,−0.63,376.0,B5V,,,,,,,,,,False
HD 74272,n,,74272,42624.0,08h 41m 13.14s,−47° 19′ 01.7″,4.74,−4.08,1895.0,A5II,,A5 II,7595.0 K,8.8 M☉,33.11 R☉,3287.0 L☉,,km/s,29.8 Myr,False
HD 70930,B,,70930,41039.0,08h 22m 31.70s,−48° 29′ 25.4″,4.82,−3.79,1720.0,B1V,suspected variable,B1Vor B2III,23532.0 K,15.6 M☉,13.6 R☉,20893.0 L☉,2.74 cgs,220.0 km/s,10.0 Myr,False
HD 89998,r,,89998,50799.0,10h 22m 19.61s,−41° 39′ 00.4″,4.82,0.88,200.0,K1IIIvar,,K1 III,4761.0 K,1.9 M☉,11.0 R☉,56.0 L☉,2.77 cgs,<1.0 km/s,,False
HY Vel,,HY,74560,42726.0,08h 42m 25.41s,−53° 06′ 50.5″,4.83,−1.01,479.0,B3IV,"in IC 2391; slowly pulsating B star, Vmax = 4.81m, Vmin = 4.86m, P = 1.55 d",B3 IV,16865.0 K,5.4 M☉,,830.0 L☉,4.07 cgs,45.0 km/s,179.0 Myr,False
HD 88206,Q,,88206,49712.0,10h 08m 56.25s,−51° 48′ 40.5″,4.85,−2.76,1083.0,B3IV,,B3III/IV,17900.0 K,9.1 M☉,4.5 R☉,9580.0 L☉,,,23.8 Myr,False
HD 79917,l,,79917,45439.0,09h 15m 36.76s,−38° 34′ 11.7″,4.92,0.73,225.0,K1III,,K1III,4643.0 K,1.8 M☉,12.63 R☉,66.8 L☉,2.63 cgs,4.28 km/s,,False
HD 75710,g,,75710,43347.0,08h 49m 47.65s,−45° 18′ 28.5″,4.94,−2.08,827.0,A2III,,A2 III,9456.0 K,2.8 M☉,15.0 R☉,1668.0 L☉,3.38 cgs,110.0 km/s,,False
GX Vel,,GX,79186,45085.0,09h 11m 04.40s,−44° 52′ 04.5″,5.0,−5.81,4700.0,B5Ia,"α Cyg variable, Vmax = 4.97m, Vmin = 5.04m",B5 Ia,15000.0 K,35.0 M☉,61.0 R☉,214000.0 L☉,2.12 cgs,39.0 km/s,8.3 Myr,False
HD 73155,C,,73155,42088.0,08h 34m 43.61s,−49° 56′ 39.3″,5.01,−2.14,876.0,K1/K2II,"variable star, ΔV = 0.004m, P = 0.091 d",K1.5Ib,4245.0 K,3.3 M☉,56.0 R☉,1010.0 L☉,2.0 cgs,4.1 km/s,,False
HD 83058,L,,83058,46950.0,09h 34m 08.80s,−51° 15′ 19.0″,5.01,−2.27,931.0,B1.5IV,,B2 IV,17887.0 K,9.3 M☉,5.405 R☉,2686.0 L☉,3.779 cgs,64.0 km/s,14.1 Myr,False
HD 91504,t,,91504,51635.0,10h 32m 56.88s,−47° 00′ 12.1″,5.02,−2.34,964.0,K4III,,,,,,,,,,False
GU Vel,F,GU,71935,41483.0,08h 27m 36.65s,−53° 05′ 18.7″,5.08,1.10,204.0,A9/F0III/IV,"δ Sct variable, Vmax = 5.08m, Vmin = 5.11m, P = 0.07 d",,,,,,,,,False
KX Vel,f,KX,75821,43413.0,08h 50m 33.46s,−46° 31′ 45.1″,5.09,−4.50,2694.0,B0III,spectroscopic binary; Algol variable,,,,,,,,,False
HD 81848,I,,81848,46283.0,09h 26m 17.98s,−53° 22′ 44.2″,5.09,−0.47,422.0,B6V,"variable star, ΔV = 0.008m, P = 0.41 d",,,,,,,,,False
HD 85355,u,,85355,48224.0,09h 49m 57.16s,−45° 43′ 57.9″,5.09,−2.01,856.0,B7III,,,,,,,,,,False
ψ Vel B,ψ,,82434B,,09h 30m 42.11s,−40° 28′ 00.8″,5.12,3.75,61.0,,suspected variable,F0 IV + F3 IV,6837.0 K,1.46 M☉,1.46 R☉,4.21 L☉,,,,False
NO Vel,,NO,69144,40285.0,08h 13m 36.16s,−46° 59′ 30.0″,5.14,−2.23,970.0,B2.5IV,eclipsing binary,,,,,,,,,False
HD 74753,D,,74753,42834.0,08h 43m 40.28s,−49° 49′ 22.1″,5.15,−3.19,1516.0,B0IIIn,,,,,,,,,,False
FZ Vel,,FZ,77140,44093.0,08h 58m 52.43s,−47° 14′ 05.4″,5.17,1.02,221.0,Am,"δ Sct variable, Vmax = 5.14m, Vmin = 5.17m, P = 0.065 d",,,,,,,,,False
NZ Vel,,NZ,74146,42504.0,08h 39m 57.62s,−53° 03′ 17.2″,5.18,−0.41,428.0,B4IV,in IC 2391; rotating ellipsoidal variable,,,,,,,,,False
NY Vel,,NY,74067,42540.0,08h 40m 19.22s,−40° 15′ 50.0″,5.2,0.53,280.0,Ap (SiCr),α² CVn variable,,,,,,,,,False
