Name,B,F,G.,Var,HD,HIP,RA,Dec,vis. mag.,abs. mag.,Dist. (ly),Sp. class,Notes,Spectral type,Temperature,Mass,Radius,Luminosity,Surface gravity,Rotation,Age,Main Star
39 Cet,,39,121.0,AY,7672.0,5951.0,01h 16m 36.35s,−02° 30′ 00.8″,5.42,0.95,256.0,G5III-IVe,"AY Cet; RS CVn variable, Vmax = 5.35m, Vmin = 5.58m; spectroscopic binary",G5IIIe,5080.0 K,2.2 M☉,6.8 R☉,45.0 L☉,3.0 cgs,75.12 d,1.3 Gyr,False
60 Cet,,60,201.0,,12573.0,9589.0,02h 03m 11.61s,+00° 07′ 42.4″,5.42,0.69,288.0,A5III,,,,,,,,,,False
70 Cet,,70,237.0,,14690.0,11046.0,02h 22m 12.41s,−00° 53′ 05.1″,5.42,0.76,279.0,F0Vn,,,,,,,,,,False
57 Cet,,57,196.0,,12255.0,9326.0,01h 59m 46.19s,−20° 49′ 28.5″,5.43,−1.13,668.0,M0/M1III,,,,,,,,,,False
AR Cet,,,198.0,AR,12292.0,9372.0,02h 00m 26.77s,−08° 31′ 25.8″,5.43,−0.87,593.0,M3III,"semiregular variable, Vmax = 5.40m, Vmin = 5.61m",,,,,,,,,False
47 Cet,,47,145.0,,8829.0,6748.0,01h 26m 51.56s,−13° 03′ 23.5″,5.51,2.71,118.0,F0V,,,,,,,,,,False
67 Cet,,67,231.0,,14129.0,10642.0,02h 16m 58.99s,−06° 25′ 18.7″,5.51,0.42,340.0,G8III,,,,,,,,,,False
80 Cet,,80,271.0,,16212.0,12107.0,02h 36m 00.07s,−07° 49′ 53.2″,5.53,−0.47,517.0,M0III,Quinten,,,,,,,,,False
EL Cet,(g),,315.0,EL,19926.0,14915.0,03h 12m 26.37s,+06° 39′ 39.2″,5.55,−1.34,780.0,K1IIIpe+...,"g Tauri; irregular variable, ΔV = 0.04m; multiple star",,,,,,,,,False
28 Cet,,28,105.0,,6530.0,5164.0,01h 06m 05.13s,−09° 50′ 21.7″,5.58,−0.73,595.0,A1V,,,,,,,,,,False
T Cet,,,36.0,T,1760.0,1728.0,00h 21m 46.23s,−20° 03′ 28.8″,5.61,−1.27,774.0,M5/M6Ib/II,"semiregular variable, Vmax = 5.0m, Vmin = 6.9m, P = 158.9 d",M5-6Se,3396.0 K,3.0 M☉,275.0 R☉,8128.0 L☉,0.01 cgs,,,False
φ4 Cet,φ4,23,99.0,,5722.0,4587.0,00h 58m 43.89s,−11° 22′ 47.8″,5.62,0.69,315.0,G7III,part of Al Nitham (φ Cet),G8 III,4914.0 K,1.53 M☉,10.972 R☉,63.2 L☉,2.6 cgs,0.83 km/s,2.2 Gyr,False
49 Cet,,49,167.0,,9672.0,7345.0,01h 34m 37.72s,−15° 40′ 34.9″,5.62,1.68,200.0,A1V,,A1V,8970.0 K,1.96 M☉,1.711 R☉,19.12 L☉,4.3 cgs,196.9 km/s,40.0 Myr,False
93 Cet,,93,311.0,,18883.0,14143.0,03h 02m 22.51s,+04° 21′ 10.3″,5.62,−0.06,445.0,B7V,,,,,,,,,,False
95 Cet,,95,318.0,,20559.0,15383.0,03h 18m 22.28s,−00° 55′ 48.5″,5.62,1.45,222.0,K1IV,,,,,,,,,,False
64 Cet,,64,215.0,,13421.0,10212.0,02h 11m 21.16s,+08° 34′ 12.3″,5.64,2.50,139.0,G0IV,,G0IV,6066.0 K,1.53 M☉,2.56 R☉,8.13 L☉,3.81 cgs,15.0 days,2.63 Gyr,False
66 Cet,,66,224.0,,13612.0,10305.0,02h 12m 47.32s,−02° 23′ 36.5″,5.65,2.33,150.0,F8V,,,,,,,,,,False
81 Cet,,81,277.0,,16400.0,12247.0,02h 37m 41.78s,−03° 23′ 45.8″,5.65,0.71,317.0,G5III:,has a planet (b),K0IIIor G5III,4825.0 K,1.6 M☉,11.1 R☉,60.0 L☉,2.5 cgs,1.2 km/s,2.5 Gyr,False
