Name,B,F,Var,HD,HIP,RA,Dec,vis. mag.,abs. mag.,Dist. (ly),Sp. class,Notes,Spectral type,Temperature,Mass,Radius,Luminosity,Surface gravity,Rotation,Age,Main Star
4 Ari,,4,,10982.0,8387.0,01h 48m 10.90s,+16° 57′ 20.3″,5.86,1.14,287.0,B9.5V,,B9.5 V,10913.0 K,2.48 M☉,2.2 R☉,40.4 L☉,4.47 cgs,33.0 km/s,257.0 Myr,False
HR 830,,(16),VZ,17471.0,13121.0,02h 48m 45.87s,+25° 11′ 17.1″,5.89,0.14,460.0,A0V,"16 Trianguli; Alpha² CVn variable, Vmax = 5.82m, Vmin = 5.89m",A0 V,10304.0 K,2.74 M☉,3.1 R☉,78.7 L☉,4.1 cgs,54.0 km/s,,False
1 Ari B,,1,,11155.0,,01h 50m 08.50s,+22° 16′ 33.0″,5.9,,,,component of the 1 Ari system,K1 III + A6 V,,,,141.51 L☉,,,,False
49 Ari,,49,,18769.0,14109.0,03h 01m 54.15s,+26° 27′ 44.4″,5.91,1.82,214.0,A3m,"suspected variable, Vmax = 5.90m, Vmin = 5.94m",kA2hA6mA7,8424.0 K,1.9 M☉,2.0 R☉,16.1 L☉,4.34 cgs,52.0 km/s,704.0 Myr,False
59 Ari,,59,,20618.0,15514.0,03h 19m 55.81s,+27° 04′ 16.7″,5.91,1.91,205.0,G8IV,,G7 IV,5044.0 K,1.96 M☉,5.76 R☉,19.5 L☉,3.21 cgs,1.8 km/s,1.7 Gyr,False
54 Cet,,(54),,11257.0,8588.0,01h 50m 52.01s,+11° 02′ 36.4″,5.93,2.77,139.0,F2Vw,"suspected variable, Vmax = 5.93m, Vmin = 5.97m",F2 Vw,7099.0 K,1.48 M☉,1.62 R☉,6.01 L☉,4.5 cgs,29.0 km/s,582.0 Myr,False
29 Ari,,29,,15814.0,11843.0,02h 32m 54.15s,+15° 02′ 04.1″,6.0,3.71,94.0,F8V,,F7 V + G5 V+ ?,6063.0 K,1.14 M☉,1.59 R☉,3.27 L☉,4.12 cgs,,3.0 Gyr,False
11 Ari,,11,,12885.0,9859.0,02h 06m 49.22s,+25° 42′ 16.5″,6.01,−1.75,1160.0,B9IV-Vn,,B9 IV-Vn,,,2.8 R☉,,,249.0 km/s,,False
16 Ari,,16,,13363.0,10203.0,02h 11m 12.06s,+25° 56′ 13.0″,6.01,−0.94,801.0,K4III,,K3 III,4244.0 K,,,359.63 L☉,,,,False
66 Ari,,66,,21467.0,16181.0,03h 28m 26.57s,+22° 48′ 15.4″,6.03,1.83,226.0,K0IV,,K0 IV,4864.0 K,,6.0 R☉,18.0 L☉,3.0 cgs,1.6 km/s,,False
65 Ari,,65,,21050.0,15870.0,03h 24m 26.11s,+20° 48′ 12.6″,6.07,1.23,303.0,A1V,,A1 V,10304.0 K,2.45 M☉,2.7 R☉,36.75 L☉,,27.0 km/s,,False
