Name,B,F,Var,HD,HIP,RA,Dec,vis. mag.,abs. mag.,Dist. (ly),Sp. class,Notes,Spectral type,Temperature,Mass,Radius,Luminosity,Surface gravity,Rotation,Age,Main Star
V415 CMa,,,V415,47247.0,31593.0,06h 36m 41.07s,−22° 36′ 53.1″,6.35,−0.46,751,B3V,"Algol variable, Vmax = 6.34m, Vmin = 6.48m, P = 1.98571 d",,,,,,,,,False
V352 CMa,,,V352,43162.0,29568.0,06h 13m 45.33s,−23° 51′ 43.9″,6.37,5.26,54,G5V,"BY Dra variable, Vmax = 6.35m, Vmin = 6.40m, P = 7.2 d",,,,,,,,,False
HD 42927,,,IP,42927.0,29488.0,06h 12m 46.33s,−17° 45′ 47.6″,6.49,,908,B5II/III,"rotating ellipsoidal variable, Vmax = 6.50m, Vmin = 6.54m, P = 5.0946 d",,,,,,,,,False
FU CMa,,,FU,52437.0,33721.0,07h 00m 19.36s,−22° 07′ 08.6″,6.51,,2100,B3Vnn,"γ Cas variable, Vmax = 6.48m, Vmin = 6.6m",,,,,,,,,False
W CMa,,,W,54361.0,34413.0,07h 08m 03.44s,−11° 55′ 23.8″,6.56,,8400,C,"semiregular variable, Vmax = 6.27m, Vmin = 7.09m, P = 160 d","C6,3(N)",2900.0 K,,234.0 R☉,2900.0 L☉,0.0 cgs,,,False
GU CMa,,,GU,52721.0,33868.0,07h 01m 49.51s,−11° 18′ 03.3″,6.59,,1450,B2Vne,"β Lyr variable, Vmax = 6.49m, Vmin = 6.72m, P = 1.610137 d",,,,,,,,,False
HR 2724,,,HN,55595.0,34814.0,07h 12m 24.18s,−27° 28′ 29.1″,6.61,,805,A5IV-V,"δ Sct variable, ΔV = 0.025m",,,,,,,,,False
EZ CMa,,,EZ,50896.0,33165.0,06h 54m 13.04s,−23° 55′ 42.0″,6.91,,4500,WN4-s,"Wolf–Rayet star, Vmax = 6.71m, Vmin = 6.95m, P = 3.763 d",WN4-s,89100.0 K,23.0 M☉,3.25 R☉,620000.0 L☉,,,,False
VY CMa,,,VY,58061.0,35793.0,07h 22m 58.29s,−25° 46′ 03.5″,7.95,−9.4,3900,M2.5–M5e Ia,"One of the largest known stars; semiregular variable or irregular variable, Vmax = 6.5m, Vmin = 9.6m",M3–M4.5(M2.5–M5Iae),3490.0 K,17.0 M☉,1420.0 R☉,29900.0 L☉,0.6 cgs,,8.2 Myr,False
GZ CMa,,,GZ,56429.0,35187.0,07h 16m 09.21s,−16° 43′ 00.1″,7.97,,1290,A0III/IV,"Algol variable, Vmax = 7.97m, Vmin = 8.51m, P = 4.80085 d",,,,,,,,,False
FZ CMa,,,FZ,52942.0,33953.0,07h 02m 42.61s,−11° 27′ 11.6″,8.14,,1350,B2IVn,"Algol variable, Vmax = 8.05m, Vmin = 8.44m, P = 1.27306 d",,,,,,,,,False
HD 45677,,,FS,45677.0,30800.0,06h 28m 17.42s,−13° 03′ 11.1″,8.50,,908,Bpshe,"prototype FS CMa variable, Vmax = 7.35m, Vmin = 8.58m",Bpshe,,,,,,,,False
Z CMa,,,Z,53179.0,34042.0,07h 03m 43.16s,−11° 33′ 06.2″,8.80,,2630,Bpe,"EXor and FU Ori variable, Vmax = 8.2m, Vmin = 10.6m",B5/8eq+F5/7,10000.0 K,3.0 M☉,13.0 R☉,1300.0 L☉,,,0.3 Myr,False
SW CMa,,,SW,54520.0,34431.0,07h 08m 15.24s,−22° 26′ 25.3″,9.16,,2230,A3IV,"Algol variable, Vmax = 9.15m, Vmin = 9.68m, P = 10.091988 d",,,,,,,,,False
DZ CMa,,,DZ,,,07h 16m 59.33s,−15° 18′ 25.4″,11.6,,,G0,"double-mode Cepheid variable, Vmax = 11.6m, Vmin = 12.4m, P = 2.311 d",,,,,,,,,False
EUVE J0720-317,,,IN,,,07h 20m 47.91s,−31° 47′ 02.7″,14.64,,,DA.9,"re-radiating binary system, Vmax = 14.64m, Vmin = 14.89m, P = 1.262396 d",,,,,,,,,False
NN CMa,,,NN,58011.0,35769.0,07h 22m 43.32s,−26° 00′ 40.9″,7.19,-12.85,3397,B1/B2Ib/IIn,,,,,,,,,,False
