Name,B,F,G.,Var,HD,HIP,RA,Dec,vis. mag.,abs. mag.,Dist. (ly),Sp. class,Notes,Spectral type,Temperature,Mass,Radius,Luminosity,Surface gravity,Rotation,Age,Main Star
γ Oph,γ,62,172,,161868.0,87108.0,17h 47m 53.57s,+02° 42′ 26.9″,3.75,1.43,95.0,A0V,"Tsung Ching, Muliphen",A0 Vor A1VnkA0mA0,9506.0 K,2.9 M☉,1.91 R☉,29.0 L☉,4.03 cgs,220.0 km/s,184.0 Myr,False
λ Oph,λ,10,25,,148857.0,80883.0,16h 30m 54.84s,+01° 59′ 02.8″,3.82,0.28,166.0,A2V,"Marfik, Marfic, Marsic",A0V + A4V,9550.0 K,2.39 M☉,2.45 R☉,76.0 L☉,,138.0 km/s,,False
67 Oph,,67,191,,164353.0,88192.0,18h 00m 38.72s,+02° 55′ 53.7″,3.93,−4.26,1417.0,B5Ib,,B5Ib,14700.0 K,12.6 M☉,31.0 R☉,39800.0 L☉,3.03 cgs,40.0 km/s,16.6 Myr,False
70 Oph,p,70,197,,165341.0,88601.0,18h 05m 27.21s,+02° 30′ 08.8″,4.03,5.50,17.0,K0V SB,nearby,K0V + K4V,5282.0 K,0.834 M☉,0.831 R☉,0.51 L☉,4.5 cgs,19.7 days,6.2 Gyr,False
44 Oph,b,44,135,,157792.0,85340.0,17h 26m 22.22s,−24° 10′ 30.1″,4.16,2.11,84.0,A3IV:m,,kA5hA9mF1III,7559.0 K,1.77 M☉,1.9 R☉,13.0 L☉,4.15 cgs,78.0 km/s,1.028 Gyr,False
χ Oph,χ,7,15,,148184.0,80569.0,16h 27m 01.44s,−18° 27′ 22.3″,4.22,−1.66,489.0,B2Vne,γ Cas variable,B2Vne,30000.0 K,10.1 M☉,4.44 R☉,55847.0 L☉,3.53 cgs,150.0 km/s,22.5 Myr,False
45 Oph,d,45,139,,157919.0,85423.0,17h 27m 21.26s,−29° 52′ 00.1″,4.28,1.61,111.0,F3III,,F5III-IV,6750.0 K,1.71 M☉,3.2 R☉,19.07 L☉,3.67 cgs,65.4 km/s,1.24 Gyr,False
φ Oph,φ,8,24,,148786.0,80894.0,16h 31m 08.39s,−16° 36′ 45.5″,4.29,0.25,210.0,G8/K0III,,G8+IIIa,5131.0 K,3.16 M☉,13.4 R☉,111.8 L☉,2.72 cgs,3.6 km/s,330.0 Myr,False
36 Oph B,A,36,103,,155885.0,84405.0,17h 15m 21.29s,−26° 36′ 00.2″,4.33,5.44,20.0,K1V,nearby triple star system,A: K2VB: K1VC: K5V,5103.0 K,0.75 M☉,0.817 R☉,0.326 L☉,4.61 cgs,20.69 days,1.43 Gyr,False
σ Oph,σ,49,143,,157999.0,85355.0,17h 26m 30.88s,+04° 08′ 25.2″,4.34,−3.44,1173.0,K3IIvar,,K2 III,4129.0 K,9.0 M☉,100.0 R☉,2630.0 L☉,1.3 cgs,4.2 km/s,,False
ι Oph,ι,25,,,152614.0,82673.0,16h 54m 00.50s,+10° 09′ 55.6″,4.39,0.11,234.0,B8V,,B8V,11220.0 K,3.14 M☉,2.8 R☉,141.0 L☉,4.03 cgs,124.0 km/s,217.0 Myr,False
ξ Oph,ξ,40,124,,156897.0,84893.0,17h 21m 00.21s,−21° 06′ 44.8″,4.39,3.19,57.0,F2/F3V,,F2V,6611.0 K,1.3 M☉,1.59 R☉,4.429 L☉,4.15 cgs,20.2 km/s,916.0 Myr,False
68 Oph,,68,193,,164577.0,88290.0,18h 01m 45.19s,+01° 18′ 18.4″,4.42,−0.13,265.0,A2Vn,,A2Vn,9594.0 K,3.07 M☉,4.5 R☉,160.0 L☉,3.76 cgs,201.0 km/s,,False
