Name,B,F,Var,HD,HIP,RA,Dec,vis. mag.,abs. mag.,Dist. (ly),Sp. class,Notes,Spectral type,Temperature,Mass,Radius,Luminosity,Surface gravity,Rotation,Age,Main Star
φ And,φ,42,,6811.0,5434.0,01h 09m 30.12s,+47° 14′ 30.6″,4.26,−2.51,736.0,B7III,emission-line star,B7 Ve+ B9 V,13490.0 K,,,882.0 L☉,3.15 cgs,75.0 km/s,63.1 Myr,True
ι And,ι,17,,222173.0,116631.0,23h 38m 08.18s,+43° 16′ 05.1″,4.29,−1.65,502.0,B8V,"Keff al Salsalat, Manus Catenata",B8 V,12620.0 K,3.98 M☉,4.6 R☉,638.0 L☉,3.35 cgs,70.0 km/s,116.0 Myr,True
π And,π,29,,3369.0,2912.0,00h 36m 52.84s,+33° 43′ 09.7″,4.34,−2.18,656.0,B5V,spectroscopic binary; suspected variable,B5 V(B5 V + B5 V),15000.0 K,5.8 M☉,4.7 R☉,1000.0 L☉,4.1 cgs,25.0 km/s,80.0 Myr,True
ε And,ε,30,,3546.0,3031.0,00h 38m 33.50s,+29° 18′ 44.5″,4.34,0.77,169.0,G5III...,,G6 III Fe−3 CH1,5082.0 K,1.01 M☉,9.04 R☉,51.3 L☉,2.88 cgs,1.7 km/s,5.71 Gyr,True
η And,η,38,,5516.0,4463.0,00h 57m 12.43s,+23° 25′ 03.9″,4.40,0.04,243.0,G8III-IV,spectroscopic binary,G8III-IV + G8III-IV,4900.0 K,2.6 M☉,10.7 R☉,65.0 L☉,2.8 cgs,,800.0 [citation needed]Myr,False
σ And,σ,25,,1404.0,1473.0,00h 18m 19.71s,+36° 47′ 07.2″,4.51,1.33,141.0,A2V,suspected variable,A2 V,8929.0 K,2.12 M☉,2.13 R☉,21.23 L☉,4.02 cgs,123.0 km/s,450.0 Myr,False
ν And,ν,35,,4727.0,3881.0,00h 49m 48.83s,+41° 04′ 44.2″,4.53,−2.06,679.0,B5V SB,spectroscopic binary,B4/5 V+ F8 V,14851.0 K,5.9 M☉,3.4 R☉,1104.0 L☉,4.12 cgs,20.0 km/s,63.1 Myr,False
7 And,,7,,219080.0,114570.0,23h 12m 32.92s,+49° 24′ 21.5″,4.53,2.58,80.0,F0V,,F1V,7380.0 K,1.6 M☉,1.71 R☉,7.8 L☉,4.16 cgs,61.0 km/s,1120.0 Myr,False
θ And,θ,24,,1280.0,1366.0,00h 17m 05.54s,+38° 40′ 54.0″,4.61,0.16,253.0,A2V,suspected variable,A2 V,8960.0 K,2.83 M☉,,113.0 L☉,3.95 cgs,102.0 km/s,,False
3 And,,3,,218031.0,113919.0,23h 04m 10.83s,+50° 03′ 06.1″,4.64,0.94,179.0,K0III,,K0 IIIb,4668.0 K,1.71 M☉,10.0 R☉,49.0 L☉,2.61 cgs,1.0 km/s,2.27 Gyr,False
65 And,,65,,14872.0,11313.0,02h 25m 37.40s,+50° 16′ 43.2″,4.73,−0.39,345.0,K4III,triple star,K4.5 III,3927.0 K,1.63 M☉,47.0 R☉,372.0 L☉,1.65 cgs,,3.01 Gyr,False
58 And,,58,,13041.0,9977.0,02h 08m 29.15s,+37° 51′ 33.1″,4.78,0.86,198.0,A5IV-V,,A5 IV-V,8875.0 K,2.0 M☉,1.9 R☉,35.55 L☉,3.89 cgs,135.0 km/s,425.0 Myr,False
8 And,,8,,219734.0,115022.0,23h 17m 44.62s,+49° 00′ 55.0″,4.82,−1.69,655.0,M2III,suspected variable,M2.5 III Ba0.5,3616.0 K,,30.0 R☉,,1.0 cgs,5.0 km/s,,False
ω And,ω,48,,8799.0,6813.0,01h 27m 39.09s,+45° 24′ 25.0″,4.83,2.57,92.0,F5IV,,F5 IVeorF3 V + F5 V,6628.0 K,0.963 M☉,2.2 R☉,7.1 L☉,,57.1 km/s,2.1 Gyr,False
