Name,B,F,Var,HD,HIP,RA,Dec,vis. mag.,abs. mag.,Dist. (ly),Sp. class,Notes,Spectral type,Temperature,Mass,Radius,Luminosity,Surface gravity,Rotation,Age,Main Star
YZ Cas,,21.0,YZ,4161.0,3572.0,00h 45m 39.11s,+74° 59′ 17.3″,5.64,0.89,290.0,A2IV,triple system; Algol variable,A2IV(A1Vm + F2V),9200.0 K,2.308 M☉,2.547 R☉,41.69 L☉,3.988 cgs,29.2 km/s,550.0 Myr,False
68 Cas,,68.0,,4142.0,3478.0,00h 44m 26.23s,+47° 51′ 50.3″,5.66,−1.18,760.0,B5V...,,,,,,,,,,False
2 Cas,,2.0,,218753.0,114365.0,23h 09m 44.14s,+59° 19′ 57.7″,5.68,−3.23,1976.0,A5III,suspected variable,A4II(kA5hA7mF0),8012.0 K,5.3 M☉,41.0 R☉,3014.0 L☉,1.93 cgs,5.3 km/s,,False
44 Cas,,44.0,,10425.0,8046.0,01h 43m 19.74s,+60° 33′ 04.9″,5.78,−1.46,913.0,B8IIIn,,,,,,,,,,False
HD 225289,,,V567,225289.0,418.0,00h 05m 06.13s,+61° 18′ 50.3″,5.8,−0.93,724.0,B8MNp...,"α2 CVn variable, Vmax = 5.71m, Vmin = 5.81m, P = 6.43 d",,,,,,,,,False
38 Cas,,38.0,,9021.0,7078.0,01h 31m 13.52s,+70° 15′ 53.2″,5.82,3.49,95.0,F6V,,,,,,,,,,False
V762 Cas,,,V762,7389.0,5926.0,01h 16m 11.90s,+71° 44′ 37.8″,5.87,−7.42,2760.0,M3,BY Draconis variable,K5Ior M3II,3869.0 K,16.9 M☉,265.7 R☉,14970.0 L☉,0.9 cgs,,10.0 Myr,False
9 Cas,,9.0,,225180.0,330.0,00h 04m 13.66s,+62° 17′ 15.6″,5.9,−4.35,3663.0,A1III,suspected variable,A1II-III,7719.0 K,5.1 M☉,26.0 R☉,2208.0 L☉,2.08 cgs,33.0 km/s,25.1 Myr,False
SU Cas,,,SU,17463.0,13367.0,02h 51m 58.75s,+68° 53′ 18.7″,5.94,−2.24,1411.0,F5:Ib-II,"classical Cepheid, Vmax = 5.7m, Vmin = 6.18m, P = 1.95 d",,,,,,,,,False
HR 5,,,V640,123.0,518.0,00h 06m 15.54s,+58° 26′ 12.1″,5.98,4.44,70.0,G5V,"eclipsing binary, ΔV = 0.066m, P = 1.03 d",G3V+ (G8V+ early MV),5751.0 K,0.98 M☉,1.05 R☉,1.08 L☉,4.41 cgs,4.47 days,5.01 Gyr,False
52 Cas,,52.0,,12279.0,9564.0,02h 02m 52.49s,+64° 54′ 05.4″,6.0,1.30,284.0,A1Vn,,,,,,,,,,False
V373 Cas,,,V373,224151.0,117957.0,23h 55m 33.84s,+57° 24′ 43.8″,6.03,,,B0.5IIv SB,"spectroscopic binary; eclipsing binary, Vmax = 5.9m, Vmin = 6.3m, P = 13.41 d",B0.5II + B4III/V,23200.0 K,18.6 M☉,,,3.0 cgs,130.0 km/s,8.0 Myr,False
55 Cas,,55.0,,13474.0,10438.0,02h 14m 29.10s,+66° 31′ 28.0″,6.05,−0.72,738.0,B9V+...,suspected variable,,,,,,,,,False
AO Cas,,,AO,1337.0,1415.0,00h 17m 43.07s,+51° 25′ 59.1″,6.11,−5.11,5719.0,O9IIInn,"Pearce's Star; rotating ellipsoidal variable, Vmax = 6.07m, Vmin = 6.24m, P = 3.52 d",O8V((f)) + O9.2II,29239.0 K,9.65 M☉,9.43 R☉,115000.0 L☉,3.45 cgs,120.0 km/s,,False
13 Cas,,13.0,,2729.0,2474.0,00h 31m 25.20s,+66° 31′ 10.7″,6.18,−0.53,716.0,B6V,"variable star, ΔV = 0.007m, P = 1.08 d",,,,,,,,,False
V773 Cas,,,V773,10543.0,8115.0,01h 44m 17.91s,+57° 32′ 12.0″,6.18,1.69,258.0,A3V,Algol variable,G1-2V/G1-2V/A3/G5,8522.0 K,0.99 M☉,1.05 R☉,,,84.55 km/s,,False
HD 225094,,,V639,225094.0,274.0,00h 03m 25.72s,+63° 38′ 25.9″,6.24,−3.92,3505.0,B3Ia,"α Cyg variable, Vmax = 6.19m, Vmin = 6.28m, P = 2.88 d",,,,,,,,,False
RZ Cas,,,RZ,17138.0,13133.0,02h 48m 55.51s,+69° 38′ 03.1″,6.26,2.28,204.0,A3V,"Algol variable, Vmax = 6.18m, Vmin = 7.72m, P = 1.20 d",,,,,,,,,False
35 Cas,,35.0,,8003.0,6312.0,01h 21m 05.19s,+64° 39′ 29.5″,6.33,2.01,238.0,A2Vnn,,,,,,,,,,False
V805 Cas,,,V805,21179.0,16319.0,03h 30m 19.39s,+71° 51′ 50.0″,6.37,−0.73,856.0,M2III,semiregular variable,,,,,,,,,False
HD 4818,,,V526,4818.0,3965.0,00h 50m 57.27s,+51° 30′ 28.9″,6.38,2.26,217.0,F2IV,"δ Sct variable, ΔV = 0.03m",,,,,,,,,False
V465 Cas,,,V465,7733.0,6093.0,01h 18m 13.89s,+57° 48′ 11.4″,6.39,−0.75,874.0,M5,"semiregular variable, Vmax = 6.1m, Vmin = 7.2m, P = 60 d",,,,,,,,,False
V761 Cas,,,V761,7157.0,5688.0,01h 13m 09.82s,+61° 42′ 22.3″,6.4,−0.11,652.0,B9V,α2 CVn variable,,,,,,,,,False
HR 9017,,,V650,223358.0,117430.0,23h 48m 39.03s,+64° 52′ 35.3″,6.41,−0.30,718.0,A0sp...,"α2 CVn variable, ΔV = 0.02m",,,,,,,,,False
16 Cas,,16.0,,3038.0,2707.0,00h 34m 24.89s,+66° 45′ 01.3″,6.47,0.28,565.0,B9III,,,,,,,,,,False
V801 Cas,,,V801,19243.0,14626.0,03h 08m 54.18s,+62° 23′ 04.5″,6.47,−2.48,2012.0,B1V:e,Be star,,,,,,,,,False
